category,title,url,visits,avg_dwell_sec,content
IT/AI,AI로 '내가 쓸 글'을 더 빨리 쓰는 가장 현실적인 방법,internal://fun/IT/AI/16,5641,172,AI는 처음부터 끝까지 대신 쓰게 하면 티가 난다. 대신 '목차 만들기→핵심 포인트 뽑기→문장 다듬기'처럼 단계별로 쓰면 결과물이 자연스럽다. 특히 첫 문단 훅이 확 달라진다.
먹방,편의점에서 5천원으로 행복해지는 조합,internal://fun/먹방/17,5244,122,"삼각김밥+컵라면은 뻔하다. 진짜는 디저트 코너다. 우유+빵+과일 조합은 실패가 없다. 단, 당 떨어졌을 때만… 평소엔 살찐다."
스포츠,러닝을 3일만에 포기하는 사람의 공통점,internal://fun/스포츠/18,10663,86,처음부터 페이스를 올린다. 심박이 터지면 몸이 '다시는 하지 말자'라고 기억한다. 첫 주는 '걷기+느린 조깅'만 해도 된다. 기록보다 습관이 먼저다.
자기계발,미루기 습관을 끊는 가장 작은 트릭,internal://fun/자기계발/19,4827,185,"할 일을 '시작'이 아니라 '첫 2분'으로 쪼개면 뇌가 저항을 덜 한다. 문서 열기, 제목 쓰기, 파일 저장하기. 그 다음은 생각보다 굴러간다."
재테크,월급날 자동이체를 바꾸면 돈이 남는다,internal://fun/재테크/20,9321,381,"저축은 의지가 아니라 시스템이다. 월급 들어오자마자 고정저축→비상금→생활비 순서로 나누면, 남는 돈을 모으는 게 아니라 남길 돈을 먼저 떼어놓게 된다."
유머,회사 단톡방에서 절대 하면 안 되는 말 TOP 7,internal://fun/유머/21,1106,66,"내가 상사에게 '넵'이라고 답했는데, 그 뒤로 회의 때마다 '넵'이 밈이 됐다. 웃기다고 끝내면 안 된다. 왜냐면 다음 타겟이 내가 될 수 있으니까. 단톡방은 기록이 남는다. 안전하게 웃기고 싶다면, 개인 톡으로만…"
연애/썸,썸이 끝날 때 가장 많이 나오는 3가지 신호,internal://fun/연애/썸/22,8268,252,"답장이 느려지는 건 흔한데, '질문이 사라지는 순간'이 진짜다. 대화가 정보 교환이 아니라 의무가 되면 온도가 내려간다. 그래도 단정 짓지 말고, 한 번은 가볍게 만나서 컨디션 체크해보자."
게임,요즘 사람들이 밤새는 게임의 공통점: '이 1가지'가 있다,internal://fun/게임/23,7650,246,"초반 진입장벽은 낮고, 중반부터 선택의 결과가 쌓인다. '한 판만 더'가 아니라 '한 번만 더 정리'가 되는 구조. 과금보다 반복 동기가 강하면 커뮤니티가 살아남는다."
여행,2박 3일로도 충분했던 '가성비' 국내 코스,internal://fun/여행/24,10498,82,"첫날은 이동 최소화, 둘째 날에 체력 쓰고, 셋째 날은 카페+시장으로 마무리. 숙소는 중심지보다 교통 좋은 외곽이 만족도가 높았다. 사진은 새벽과 해질녘에만 진짜로 나온다."
생활꿀팁,전자레인지 냄새 30초 만에 잡는 방법,internal://fun/생활꿀팁/25,6285,130,"레몬이나 식초 한 숟갈을 물에 넣고 1분 돌린 뒤, 문을 닫은 채 2분만 기다려라. 스팀이 냄새 분자를 잡는다. 마지막에 키친타월로 닦으면 끝."
